"","file_list","tempmean","tempmedian","tempmin","tempmax","tempdiff","depthmean","salinmean","salinmedian","salinmin","salinmax"
"23","02072022_NP5.xlsx","3.23786802030457","3.21","1.9","4.66","-0.57","0.674847715736041","11.8474873096447","11.465","10.07","14.06"
"24","02072022_NP6.xlsx","2.89312020460358","3.02","0.29","4.84","0.75","1.99923273657289","29.1393094629156","28.86","27","31.73"
"25","02072022_PP1.xlsx","2.5298927613941","2.61","0.27","4.56","0.27","-1.24595174262735","27.5828954423592","27.4","26.05","29.52"
"26","02072022_PP3.xlsx","3.12321715817694","3.11","0.81","4.83","0.49","-3.0926273458445","27.8959249329759","27.94","24.89","29.41"
"27","02102022_NP1.xlsx","3.74195804195804","3.87","1.83","5.32","-2.79","-1.76052447552448","20.4239160839161","20.42","17.37","30.8"
"28","02102022_NP3.xlsx","4.91365517241379","4.77","3.7","5.99","-2.03","2.48262068965517","30.3250689655172","30.485","29.01","30.91"
"29","02102022_NP5.xlsx","4.18313793103448","4.19","2.51","5.6","-1.98","0.515827586206897","27.4587931034483","27.37","25.69","29.86"
"30","02102022_PP1.xlsx","3.75920792079208","3.71","2.61","5.19","-2.16","-1.19419141914191","27.4182508250825","27","25.87","29.29"
"31","02102022_PP3.xlsx","4.28882736156352","4.47","2.36","5.86","-2.28","-3.31986970684039","28.5752117263844","28.66","27.26","29.56"
"32","02152022_NP1.xlsx","4.48194616977226","4.81","0.06","6.97","1.88","-1.67639751552795","29.6614906832298","29.68","27.94","31.3"
"33","02152022_NP3.xlsx","5.56238589211618","5.725","3.44","7.35","1.07","2.65914937759336","29.569356846473","29.67","27.4","30.64"
"34","02152022_NP5.xlsx","5.02754677754678","5.28","0.52","7.17","0.91","0.826216216216216","29.9532224532225","30.28","26.86","31.38"
"35","02152022_NP6.xlsx","4.44745417515275","4.62","-0.09","7.11","1.99","5.51961303462322","30.4287372708758","30.3","27.9","32.84"
"36","02152022_PP1.xlsx","4.77491416309013","5.22","0.19","7.64","4.84","-1.20098712446352","27.5901931330472","27.5","26.63","28.98"
"37","02152022_PP3.xlsx","4.90038876889849","5.29","0.3","7.11","2.2","-3.1648596112311","28.5602159827214","28.75","26.07","30.33"
